lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
a,,"<h3>Qubee</h3> 1] qubee jalqabaa kan afaan Ingilizii. 2] barnoota irratti, qabxii hojii sadarkaa ol'aanaatiif, kennamu, tokko",f,,,,,,,
a baculo,,<h3>Maqibsa</h3> 1] (seendurii) loojikii irra humnaan walfalmuutti yaada amanu.,,,,,,,,
a band,,"<h3>Cibra</h3> 1] (dhaqaamaa) cittuu pirootiinii, xurii gurraacha, lumaamii maayfaabriilii/myofibril keessatti argamu.",,,,,,,,
A battery,,<h3>Cibra</h3> 1] dhagaa baatirii  ujummoo elektirooniksii kaatoodii ho'isuuf nu gargaaru.,,,,,,,,
a bene placito,,<h3>Xumibsa</h3> 1] (muuziqaa) gammachuu guddaan guutamuu keessa galuu.,,,,,,,,
a bit,,<h3>Xumibsa</h3> 1] (idileela) waan qabiyyee xiqqoo.,,,,,,,,
a board,,<h3>Cibra</h3> 1] gabatee ambatitoo,,,,,,,,
a cappella,,<h3>Cibra</h3> 1] (muuziqaa) meeshaa muuziqaa tokko malee ga'umsa sagalee bareedaa dhageessisuu.,,,,,,,,
a capriccio,,<h3>Xumibsa</h3> 1] (muuziqaa) deemitii muuziqaa kamuu akkasumas inaajii kamuu  keessatti ga'umsa kaka'umsaa ykn fedhii mul'atu.,,,,,,,,
A Coruña,,<h3>Maqqofee</h3> 1] magaalaa seena qabeettii qarqara galaana naannoo Galiishaatti/Galicia argamtu.,,,,,,,,
A cup,,<h3>Maqibsa</h3> 1] xinnoo ta'uu duukaa waan hidhata qabu. 2] dubartii harma xiqqoo qabdu.,,,,,,,,
a damn sight,,"<h3>Maqibsa</h3> 1] (afaanfala, mala qooqaa) lakkoofsaan baayyee kan ta'e.",,,,,,,,
a fat lot,,"<h3>Cibra</h3> 1] (idileela, gabaalcha) xiqqoo ykn kan hin jirre.",,,,,,,,
a few,,"<h3>Maqibsa</h3> 1] xiqqoo, muraasa, bicuu",,,,,,,,
A final,,"<h3>Cibra</h3> 1] gariin xumuramaa, dhumni isaa kan dhiyaate, gariin kan goolabame, xumura irrattis kan mo'e ykn mo'u tilmaamuun kan nama hin rakkifne, xumurameera jechuun kan nama dandeessisu.",,,,,,,,
a fortiori,,<h3>Cibra</h3> 1] taatee fi bu'aa qabata amansiisaa qabu.,,,,,,,,
a fuck sight,,"<h3>Cibra</h3> (Ingiliffa Biritish, algala, gandiffa) marii baay'ee gaarii, walii galuu sadarkaa olaanaa.",,,,,,,,
a jour,,"<h3>Cibra</h3> 1] hojii kutanii, muranii, waan ifa dabarsuun faayanii hojjetamu.",,,,,,,,
a la,,<h3>Cibra</h3> 1] inaajii ofiin liqimsamanii jiraachuu.,,,,,,,,
a la mode,,<h3>Maqibsa</h3> 1] inaajii ammayyaawaa keessa kan jiraatu.,,,,,,,,
a little,,<h3>Cibra</h3> 1] sadarkaa ykn digirii muraasa. fkn. balballi kun xiqqoo banameera.,,,,,,,,
a lot,,"<h3>Maqibsa</h3> 1] baay'ee, hedduu, danuu, wacaqa",,,,,,,,
a matter,,"<h3>Xumibsa</h3> 1] hanga tokko, hagas mara.",,,,,,,,
a notch above,,<h3>Maqibsa</h3> 1] (Ciigoo) hundarraa gaarii fi kan caalu ta'uu kan agarsiisu.,,,,,,,,
a one,,<h3>Cibra</h3> 1] aankii gulantaa jalqabaa ta'uu kan agarsiisu.,,,,,,,,
a piacere,,<h3>Xumibsa</h3> 1] (muuziqaa) gammachuu guutuu keessa.,,,,,,,,
a tad,,"<h3>Maqibsa</h3> 1] muraasa, yartuu, bicuu, maddee.",,,,,,,,
a treat,,<h3>Maqibsa</h3> 1] baayyee gaarii fi bu'aa qabeessa.,,,,,,,,
a trifle,,<h3>Xumibsa</h3> 1] xinnoodhumashee 2] hamma tokko,,,,,,,,
A-Sized Paper (ICT),,"<h3>Cibra</h3> 1] Waraqaa Hanga-A, (ICT, Jecha Kompiitaraa)",,,,,,,,
aa,,"<h3>Cibra</h3> 1] laavaa, dhangala'aa voolkaanoo lafa keessaa ol yaa'uun dhagaa gurraacha uumu.",,,,,,,,
aad,,"<h3>Cibra</h3> 1] manguddoo, jaarsa, dulloomaa",,,,,,,,
aad wife,,"<h3>Maqibsa</h3> 1] dulloomtuu, otontortuu",,,,,,,,
aah!,,"<h3>Cibra</h3> 1] raajeffannoo, dinqisiifachuu kan mul'isu.",,,,,,,,
aal,,<h3>Cibra</h3> 1] gosa biqiltuu goraa biyya hindii (mulberry),,,,,,,,
Aalenian,,<h3>Maqqofee</h3> 1] kutaawwan xixiqqoo bara gudduugala Juraasikii,,,,,,,,
Aam,,"(Cibra) 1] Safartuu dhangala’oo Daach fi Jarmanii, biyya Ingiliziitti wayinii Raayiniidhaaf kan oolu, magaalota adda addaa keessatti garaagarummaa kan qabu, Amsterdam keessatti gara gaalonii wayinii 41, Antwerp keessatti 361⁄2 fi Hamburg keessatti 381⁄4 ta’uu isaati.",,,,,,,,
aardvark,,"<h3>Cibra</h3> 1] awwaaldiigessa, olokee",,,,,,,,
aardwolf,,<h3>Cibra</h3> 1] gulloo (gosa waraabessaa qalloo),,,,,,,,
aaron,,"<h3>Cibra</h3> 1] akaakuu biqiltuu abaaboo (Arum maculatum) jedhamu, kan abaaboo boca xiyya fakkaatu qabu fi gosa goraa bifa dhiilgee fakkaatuuti.",,,,,,,,
Aaron,,<h3>Maqqofee</h3> 1] Obboleessa Musee angafa (Macaafa Qulqulluu keessatti fi Qur'aana keessatti.),,,,,,,,
